match_uuid,Game,Arquetipo,Salida / Robo,Ganado,Turnos,Prowess,Monjes,Mulls yo,Mulls rival,Mano yo,Mano rival,Robos yo,Robos rival,Tierras yo,Tierras T1-3,Accion T1,Turno 1a amenaza,Turno Cutter,Hechizos yo,Removal yo,Descartes yo,Reportado por
43e1e1a1-fb2f-4f80-8ecf-352c7afbbfbb,1,Dimir Frog,Salida,0,7,4,0,0,0,7,7,8,7,4,2,1,1,0,11,4,0,4c_PolG
43e1e1a1-fb2f-4f80-8ecf-352c7afbbfbb,2,Dimir Frog,Salida,0,4,0,0,0,0,7,7,5,4,4,3,1,4,0,8,1,0,4c_PolG
241c6d98-b967-4522-949e-2931767cb411,1,Living End,Robo,0,4,2,0,0,0,7,7,5,3,3,3,1,1,0,8,2,0,4c_PolG
241c6d98-b967-4522-949e-2931767cb411,2,Living End,Salida,1,4,0,0,0,2,7,5,4,5,3,3,1,2,0,6,0,0,4c_PolG
241c6d98-b967-4522-949e-2931767cb411,3,Living End,Robo,1,4,3,0,0,1,7,6,5,3,2,2,1,1,0,8,1,1,4c_PolG
de67bc4c-a8f7-45a5-834c-f651b839bbf9,1,¿? (revisar),Salida,1,4,1,2,0,1,7,6,4,3,3,3,1,1,3,6,0,0,4c_PolG
de67bc4c-a8f7-45a5-834c-f651b839bbf9,2,¿? (revisar),Robo,0,5,5,3,0,0,7,7,5,6,4,3,1,1,2,8,0,0,4c_PolG
de67bc4c-a8f7-45a5-834c-f651b839bbf9,3,¿? (revisar),Salida,1,4,0,0,1,1,6,6,3,5,3,3,1,1,0,4,1,0,4c_PolG
dd2aa23e-c93a-40a7-bbc9-add220569e4e,1,¿? (revisar),Robo,0,4,0,1,0,0,7,7,5,3,3,3,1,1,2,4,1,0,4c_PolG
dd2aa23e-c93a-40a7-bbc9-add220569e4e,2,¿? (revisar),Salida,0,7,1,1,1,0,6,7,7,7,3,3,1,1,4,7,0,0,4c_PolG
ff17944e-41ce-44e9-adbe-30b1461955f6,1,¿? (revisar),Salida,1,5,15,4,0,1,7,6,10,8,3,2,1,2,2,11,2,3,4c_PolG
ff17944e-41ce-44e9-adbe-30b1461955f6,2,¿? (revisar),Robo,0,2,0,0,2,0,5,7,2,1,1,1,1,0,0,1,0,0,4c_PolG
ff17944e-41ce-44e9-adbe-30b1461955f6,3,¿? (revisar),Salida,0,5,8,3,0,0,7,7,10,10,4,3,1,2,2,9,4,3,4c_PolG
1aab62bd-3018-4bcb-bace-437886c88f11,1,¿? (revisar),Salida,1,3,2,0,1,0,6,7,3,3,3,3,1,1,0,4,1,0,4c_PolG
1aab62bd-3018-4bcb-bace-437886c88f11,2,¿? (revisar),Robo,1,2,0,0,1,1,6,6,3,1,2,2,1,0,0,3,2,0,4c_PolG
d43e65c2-eb56-41d8-9ace-80ef98332ec5,1,Grixis Reanimator,Salida,0,5,1,0,0,0,7,7,5,6,1,1,1,1,0,4,0,2,4c_PolG
d43e65c2-eb56-41d8-9ace-80ef98332ec5,2,Grixis Reanimator,Salida,0,4,2,2,0,1,7,6,5,4,4,3,1,1,2,8,2,0,4c_PolG
69a8c5b2-406d-4acd-8368-2716058b6d2e,1,Izzet Affinity,Robo,0,2,0,0,1,0,6,7,1,3,1,1,1,1,0,1,0,0,4c_PolG
69a8c5b2-406d-4acd-8368-2716058b6d2e,2,Izzet Affinity,Salida,0,4,7,0,0,0,7,7,6,5,3,3,1,1,0,9,3,0,4c_PolG
0490d733-3ad7-4a16-9d43-b20dbb297c2f,1,Azorius Control,Salida,1,4,0,2,0,0,7,7,3,7,3,3,1,1,2,6,0,0,4c_PolG
0490d733-3ad7-4a16-9d43-b20dbb297c2f,2,Azorius Control,Robo,0,6,1,0,1,0,6,7,7,6,3,3,0,2,3,11,2,0,4c_PolG
