IZZET PROWESS — PLANTILLA DE SIDEBOARD
"Mi 75 (la Stock que juego, 15-sep-2026). Columnas ordenadas por lo que MAS te cruzas (51 partidas con esta lista)."
"Cada celda = cuantas copias. En el bloque de arriba, las que SALEN; abajo, las que ENTRAN. La fila 'DESCUADRE' tiene que dar 0: si da otra cosa, no salen las mismas cartas que entran."
"Lo que esta en blanco es lo que falta por decidir. Generado por scripts/plantilla_sb.py — no se edita a mano en el repo, se rellena en la copia de Drive."

CARTA,Nº,Esper Goryo's,Broodscale,Eldrazi,Dimir Frog,Izzet Prowess,Boros Ponza,Devoted Combo,Grixis Reanimator,Azorius Control,Boros Energy,Neoform,Sultai Midrange,Izzet Affinity,Izzet Cori,Jund,MonoR Artifacts,Necrodominance,Temur Rhinos,The Rack,Through the Breach,Ruby Storm,Amulet Titan,Living End,Golgari Yawgmoth,Hollow One,(libre 1),(libre 2)
TU RECORD,,2-5,2-3,3-2,1-3,2-2,2-1,2-1,1-2,1-1,2-0,0-2,0-2,0-1,1-0,1-0,0-1,1-0,0-1,1-0,1-0,sin partidas,sin partidas,sin partidas,sin partidas,sin partidas,,
% DE LO QUE TE CRUZAS,,14%,10%,10%,8%,8%,6%,6%,6%,4%,4%,4%,4%,2%,2%,2%,2%,2%,2%,2%,2%,—,—,—,—,—,,
TU PAPEL,,BEATDOWN PURO. Aqui pierdes por jugar de control,Beatdown con disrupcion,Beatdown: cierra en 4-5 turnos,Beatdown: a la larga te supera en cartas,Es beatdown el que resuelve Cori-Steel Cutter primero,Beatdown,"Beatdown con una mano en el freno: corre, pero guarda la respuesta al turno de combo",Beatdown,"Beatdown, pero sin sobreextenderte","Eres el beatdown, pero por el aire",Beatdown maximo,,Beatdown con disrupcion,,,Beatdown con disrupcion,,,,,Beatdown absoluto: mata en el turno 4,Beatdown: turno 4 o nada,Beatdown: mata en el turno 4,Beatdown: mata a Yawgmoth en cuanto lo veas,Beatdown,,

EL MOTOR — no sale nunca,
Dragon's Rage Channeler,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monastery Swiftspear,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cori-Steel Cutter,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mishra's Bauble,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preordain,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tierras,18,,,,,,,,,,,,,,,,,,,,,,,,,,,

QUE SALE — los 22 flexibles,
Slickshot Show-Off,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Bolt,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lava Dart,4,2,,4,,,1,,,,,2,,,,,,,,,,4,4,4,,,,
Mutagenic Growth,4,4,4,,4,2,,,4,4,,4,,1,,,1,,,,,4,,4,1,4,,
Expressive Iteration,3,,,,,3,,3,,,1,,,3,,,3,,,,,,,,,1,,
Violent Urge,2,2,2,2,2,2,2,2,2,,2,2,,2,,,2,,,,,,2,,2,,,
Unholy Heat,1,,,,,,,,,,,,,,,,,,,,,,,,,,,

QUE ENTRA — banquillo (15),
Consign to Memory,4,4,4,4,1,2,,,4,,,4,,4,,,4,,,,,4,4,4,,,,
Unholy Heat,3,,,,3,3,3,3,,,3,,,,,,,,,,,,,,3,3,,
Surgical Extraction,2,2,,,,,,,2,,,,,,,,,,,,,,,2,,2,,
Meltdown,2,,,,,,,,,,,,,2,,,2,,,,,2,,,,,,
Spell Pierce,2,2,,2,,,,,,2,,2,,,,,,,,,,2,2,2,,,,
Spell Snare,2,,2,,2,2,,2,,2,,2,,,,,,,,,,,,,,,,

