Rival,Matches,Récord,WR %,Mazo(s),Confianza media,Turnos medios,Cartas más vistas,Visto por
101DeMoNS,1,0-1,0%,Izzet Prowess,100%,5.0,"Monastery Swiftspear, Preordain, Cori-Steel Cutter, Mishra's Bauble, Boomerang Basics, Unholy Heat, Dragon's Rage Channeler, Slickshot Show-Off, Lightning Bolt, Stormchaser's Talent",feralo77
Asmodai02,1,0-1,0%,Neoform,100%,4.7,"Summoner's Pact, Allosaurus Rider, Neoform, Consign to Memory, Pact of Negation, Planar Genesis, Mystical Dispute, Veil of Summer, Eldritch Evolution",feralo77
beetea,1,0-1,0%,Izzet Prowess,92%,3.7,"Lava Dart, Cori-Steel Cutter, Mishra's Bauble, Expressive Iteration, Violent Urge, Lightning Bolt, Dragon's Rage Channeler, Unholy Heat, Preordain, Monastery Swiftspear",feralo77
Cesc_95,1,1-0,100%,Boros Energy,100%,5.7,"Ragavan, Nimble Pilferer, Ajani, Nacatl Pariah, Guide of Souls, Goblin Bombardment, Ocelot Pride, Seasoned Pyromancer, Galvanic Discharge, High Noon",feralo77
chylz,1,1-0,100%,Broodscale,100%,6.3,"Blade of the Bloodchief, Kozilek's Command, Soul-Guide Lantern, Malevolent Rumble, Ancient Stirrings, Glaring Fleshraker, Basking Broodscale, Walking Ballista, Unholy Heat, Emrakul, the Promised End, Writhing Chrysalis, Springleaf Drum",feralo77
Ciraris,1,0-1,0%,Sultai Midrange,31%,5.7,"Fblthp, the Lost, Birthing Ritual, Force of Negation, Coiling Oracle, Shardless Agent, Ice-Fang Coatl, Abhorrent Oculus, Mystical Dispute, Endurance, Harbinger of the Seas",feralo77
CrusherBotBG,1,0-1,0%,MonoR Artifacts,94%,5.0,"Shadowspear, Tormod's Crypt, Lightning Bolt, Galvanic Blast, Shrapnel Blast, Mox Opal, Mishra's Bauble, Vexing Bauble, Legion Extruder, Cori-Steel Cutter",feralo77
DB_BaaL,1,0-1,0%,Broodscale,100%,7.0,"Blade of the Bloodchief, Glaring Fleshraker, Soul-Guide Lantern, Kozilek's Command, Emrakul, the Promised End, Walking Ballista, Haywire Mite, Malevolent Rumble, Basking Broodscale",feralo77
Dcal215,1,0-1,0%,Izzet Affinity,93%,4.0,"Weapons Manufacturing, Mox Opal, Mishra's Bauble, Tormod's Crypt, Engineered Explosives, Pinnacle Emissary, Arcbound Ravager, Skateboard, Kappa Cannoneer",feralo77
Durrrr89,1,1-0,100%,Grixis Frog/Reanimator,65%,4.0,"Thoughtseize, Psychic Frog, Unearth",feralo77
eckschin,1,0-1,0%,Grixis Reanimator,93%,5.3,"Persist, Deceit, Emperor of Bones, Orcish Bowmasters, Engineered Explosives, Stitcher's Supplier, Flare of Malice, Eyetwitch, Boggart Trawler, Archon of Cruelty",feralo77
ilprofetaVDR,1,1-0,100%,Dimir Frog,24%,4.5,"Fatal Push, Orcish Bowmasters, Counterspell, Sheoldred's Edict",feralo77
InspiringPresence,1,1-0,100%,Broodscale,100%,4.7,"Vexing Bauble, Basking Broodscale, Ancient Stirrings, Blade of the Bloodchief, Malevolent Rumble, Kozilek's Command, Glaring Fleshraker, Nature's Claim, Thief of Existence, Unholy Heat",feralo77
Jijito,1,1-0,100%,Azorius Control,71%,8.5,"Spell Snare, Brainsurge, Solitude, Teferi, Hero of Dominaria, Dress Down, Counterspell, Wan Shi Tong, Librarian, Wrath of the Skies, Vexing Bauble, Consult the Star Charts",feralo77
Jsph,1,1-0,100%,Boros Ponza,93%,6.5,"Path to Exile, Mishra's Research Desk, Price of Freedom, Erode, Solitude, High Noon, Cleansing Wildfire, Kaheera, the Orphanguard",feralo77
kentaro_hokori,1,0-1,0%,Esper Goryo's,93%,6.0,"Otherworldly Gaze, Thoughtseize, Goryo's Vengeance, Psychic Frog, March of Otherworldly Light, Prismatic Ending, Solitude, Faithful Mending, Ephemerate",feralo77
ls149950,1,0-1,0%,Broodscale,69%,6.0,"Ancient Stirrings, Kozilek's Command, Malevolent Rumble, Blade of the Bloodchief, Sowing Mycospawn, Dismember, Glaring Fleshraker, Vexing Bauble, Thief of Existence",feralo77
